candidato,url,caption,likes,shortCode,comentarios,data,categoria,validacao_1,subcategoria,validacao_2,formato
Zema,https://www.instagram.com/p/DckEikYpq1I/,"Que tristeza viver num Brasil onde o líder máximo da nação é o maior mentiroso já visto.

Que tipo de referência é essa? Se ele tenta esconder, eu mostro.

Siga @romeuzemaoficial . CHEGA DE ESQUEMA.",169716,DckEikYpq1I,22246,2026-08-28 00:00:00 UTC,Conteúdo personalista,,Identidade,,
Zema,https://www.instagram.com/p/DckKlLwOlqb/,"E agora, refrescou a memória aí?",74780,DckKlLwOlqb,5207,2026-08-28 00:00:00 UTC,Conteúdo personalista,,Relações pessoais e interpessoais,,
Zema,https://www.instagram.com/p/DcgxksZpGh6/,Miriam Leitão me atacou. É sério que alguém ainda acredita que isso é o mais grave nessa eleição?,67540,DcgxksZpGh6,4671,2026-08-26 00:00:00 UTC,Conteúdo personalista,,Relações pessoais e interpessoais,,
Zema,https://www.instagram.com/p/DckL3JBuhTc/,Agora tá explicado,57191,DckL3JBuhTc,3077,2026-08-28 00:00:00 UTC,Conteúdo personalista,,Identidade,,
Zema,https://www.instagram.com/p/Dccc6d9uRaR/,Essa é a soberania do Lula? É hora do Brasil acordar e parar de fingir que tá tudo bem.,50992,Dccc6d9uRaR,1516,2026-08-25 00:00:00 UTC,Conteúdo personalista,,Identidade,,
Zema,https://www.instagram.com/p/DcoQwlxOHcF/,"Castração química, prisão pro resto da vida e FIM DA SAIDINHA. Se nada disso acontecer, esquece qualquer chance desse país dar certo.",49675,DcoQwlxOHcF,2714,2026-08-29 00:00:00 UTC,Conteúdo programático,,Propostas e soluções,,
Zema,https://www.instagram.com/p/Dcl1J2au5N1/,Haja companheiro… será que ele lembra de toda essa turma?,41957,Dcl1J2au5N1,2011,2026-08-28 00:00:00 UTC,Conteúdo personalista,,Relações pessoais e interpessoais,,
Zema,https://www.instagram.com/p/DcYuPAmOMME/,"Já tá tão acostumado a mentir que a cara nem treme.

Mas pra cima de mim esse papinho não vai colar não.

A verdade é uma só. E o mineiro sabe muito bem o que o PT fez com Minas.

Eu consertei o estrago que sua companheirada causou, e agora vou fazer o mesmo com o Brasil.",36813,DcYuPAmOMME,3489,2026-08-23 00:00:00 UTC,Conteúdo personalista,,Competência,,
Zema,https://www.instagram.com/p/DccDGA0p_0A/,Tá chegando a hora. É 21h na Globo.,33700,DccDGA0p_0A,1486,2026-08-24 00:00:00 UTC,Conteúdo personalista,,Competência,,
Zema,https://www.instagram.com/p/Dcj_aeupM9Y/,"Não vale a pena ver de novo.

Compartilhe. O TSE não quer que o Brasil veja esse conteúdo.",32355,Dcj_aeupM9Y,866,2026-08-27 00:00:00 UTC,Conteúdo personalista,,Relações pessoais e interpessoais,,
